#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA20832	EUR	EUR	0	0	0.0128	0	0.9872	1.0776	12.494	4.9987	8.6657	1.6801	-5.0088	-3.5546	2.4226	-1.1756	-0.1344
HG03643	SAS	SAS	0	0	0	1	0	1.0785	-7.9932	-20.0157	-3.6106	1.1782	-4.704	-3.2276	6.3781	-0.5031	-3.5816
HG04080	SAS	SAS	0	0	0	1	0	2.4798	-5.3618	-16.5729	-3.907	4.0401	-3.885	-1.5241	1.8873	-0.8048	-0.5737
NA21094	SAS	SAS	0	0	0	1	0	2.5857	-6.8459	-20.0877	-5.1417	2.6671	-1.2901	-11.2008	11.0833	-3.4214	-5.0275
HG03279	AFR	AFR	0	0.9999	1e-4	0	0	63.3218	-18.3455	-1.1058	0.0317	3.5043	-2.2319	-2.8599	4.8394	-0.2656	-2.4239
NA19011	EAS	EAS	1	0	0	0	0	-6.632	-42.6604	3.4442	5.7396	-4.3333	-4.5126	-2.7255	7.244	1.2366	-2.5694
HG01325	AMR	AMR	0	0	0.9994	3e-4	2e-4	8.9397	6.1599	7.5315	3.0974	2.797	-5.7887	-1.3386	4.6992	5.1545	3.1537
NA18962	EAS	EAS	1	0	0	0	0	-6.3207	-43.5632	3.0402	3.8899	-7.2081	-1.6184	-5.9301	2.5076	1.5151	1.9102
NA18853	AFR	AFR	0	0.9999	1e-4	0	0	62.7629	-17.7819	0.0599	1.7651	1.4739	-0.5484	-3.5086	7.087	-0.4437	-2.037
HG01705	EUR	EUR	0	0	0.2357	0	0.7642	3.3853	12.3842	6.1501	9.9096	3.6029	-7.5413	-5.6926	0.7493	-0.3904	-0.5259
HG03433	AFR	AFR	0	1	0	0	0	63.2307	-17.5056	-0.4592	0.665	2.5687	0.6127	-1.6901	4.7791	1e-4	-1.5786
HG03380	AFR	AFR	0	0.9998	2e-4	0	0	62.7911	-16.9393	0.8963	0.1706	0.6081	-1.5284	-2.0273	5.6698	0.2457	0.8071
HG02184	EAS	EAS	1	0	0	0	0	-8.9178	-45.2039	1.4403	9.0843	7.9603	-3.3299	-2.0315	6.1615	0.1168	0.4218
HG03019	SAS	SAS	0	0	0	1	0	0.7859	-7.3495	-16.7833	-4.566	1.7044	-2.7828	-5.7281	2.2738	-1.1362	-1.0931
HG00255	EUR	EUR	0	0	0.0331	0	0.9669	-0.7849	11.254	5.3582	9.8079	1.8284	-4.6159	-4.0002	6.0806	-2.5792	-3.4995
HG03120	AFR	AFR	0	0.9996	4e-4	0	0	63.3219	-16.5269	-0.3597	2.0918	2.2704	-4.695	-4.5216	5.7488	-1.0552	-2.3313
HG03461	AFR	AFR	0	1	0	0	0	63.5681	-17.9986	0.1893	2.2099	2.6306	-3.2422	-0.2383	4.4112	-1.832	-1.1587
HG01967	AMR	AMR	0	0.0023	0.9977	0	0	-3.4543	-12.8191	17.3993	-23.2951	-1.0393	-4.2818	-4.8587	4.3104	1.2377	-2.0885
HG03882	SAS	SAS	0	0	0	1	0	1.7718	-6.2603	-18.859	-6.4544	1.3556	-4.5011	-0.1468	0.4888	4.836	-1.1992
HG01863	EAS	EAS	1	0	0	0	0	-7.1306	-44.7734	0.9863	6.8483	6.4267	-2.0369	-3.3214	5.6278	1.1686	-1.6521
HG03241	AFR	AFR	0	1	0	0	0	62.1062	-18.1609	-0.2828	-0.4373	1.5331	-2.2161	-1.6184	3.8879	-1.0155	0.8545
HG01804	EAS	EAS	1	0	0	0	0	-6.8756	-44.6531	1.6049	8.1692	9.2314	-3.8983	-4.2528	7.4414	-1.5671	-3.2094
HG02442	AFR	AFR	0	0.9999	1e-4	0	0	61.7517	-17.8294	-0.4977	0.9411	2.3545	-2.214	-4.9846	2.2794	-3.4765	0.0073
HG04131	SAS	SAS	0	0	0	1	0	0.0024	-12.1479	-15.6164	-3.3922	3.2224	-3.7131	-3.8179	6.5158	0.8646	-1.4878
HG03091	AFR	AFR	0	0.9999	1e-4	0	0	62.1019	-18.4243	-0.0327	1.1001	2.0673	-0.3658	-2.2297	3.2077	-1.0171	-2.4433
HG02983	AFR	AFR	0	1	0	0	0	61.624	-15.7925	-0.4058	2.7744	3.9271	-3.9363	0.4864	2.9874	-2.5057	-0.8778
HG04022	SAS	SAS	0	0	0	1	0	2.7488	-6.6819	-21.006	-5.4974	-3.0553	-2.3059	-5.1862	4.162	1.6963	-3.879
NA19735	AMR	AMR	0	0.0016	0.9984	0	0	-6.4348	-20.1941	19.8411	-31.1676	0.3828	-1.2125	-4.7984	3.7187	1.546	0.0771
NA18546	EAS	EAS	1	0	0	0	0	-8.0852	-42.7057	2.3287	8.4891	-3.7424	-3.1753	-5.8342	1.9475	-4.5331	-0.3547
HG02104	AMR	AMR	0	0.0011	0.9989	0	0	-6.1112	-22.0653	23.2541	-36.6528	3.5808	0.0728	-3.2809	7.6327	-2.9927	-3.4604
NA20766	EUR	EUR	0	1e-4	0.0635	0	0.9365	0.99	12.4914	2.6195	8.4208	2.0002	-6.6436	-3.7754	3.1542	-1.3385	-0.8479
HG02944	AFR	AFR	0	1	0	0	0	62.3973	-19.0106	0.7848	1.9662	1.6498	-4.1334	-5.3273	2.408	0.9304	0.9603
HG02355	EAS	EAS	1	0	0	0	0	-8.3272	-45.7893	0.0538	8.9405	5.6728	-4.52	-3.5925	6.5769	-3.7534	-1.1453
NA11931	EUR	EUR	0	0	0.0257	0	0.9743	1.1199	12.1286	5.1498	8.5867	4.0133	-2.979	-3.6148	0.7789	0.0685	-2.9889
HG02236	EUR	EUR	0	0	0.0042	0	0.9958	2.5256	11.4078	5.4508	9.5974	3.8726	-4.518	-4.4299	0.3943	0.1672	-4.6644
HG00554	AMR	AMR	0	0	0.9186	0.001	0.0803	4.6669	5.9251	6.5037	3.6613	0.4667	-5.0835	-2.1867	1.7711	-0.2493	-1.1619
HG02180	EAS	EAS	1	0	0	0	0	-6.3683	-44.1071	-1.0871	8.0063	4.9149	-5.571	-4.539	5.7862	-2.1379	1.459
NA18865	AFR	AFR	0	1	0	0	0	63.3878	-18.5976	-0.6407	0.7766	1.6716	-1.3142	-5.8923	7.3909	-0.0896	-3.421
HG03896	SAS	SAS	0	0	0	1	0	1.5302	-9.2234	-20.9632	-5.0537	4.1055	-5.349	-2.5827	5.8685	0.7834	-3.3541
HG02023	EAS	EAS	1	0	0	0	0	-7.4594	-42.9375	1.2269	6.021	5.736	-6.538	-6.7899	8.0812	1.5596	-5.3793
HG02724	SAS	SAS	0	0	0	1	0	-0.1256	-8.0995	-17.5039	-5.7083	1.9775	-2.2483	-3.3786	4.7644	2.9896	-8.9236
NA18547	EAS	EAS	1	0	0	0	0	-7.921	-42.3352	2.8638	6.9124	-2.6229	-1.3846	-2.0147	8.5089	-1.0997	0.9582
HG01077	AMR	AMR	0.0016	0.001	0.9953	8e-4	0.0013	9.975	-0.5785	6.6172	-0.9582	3.0927	-4.061	-3.773	6.3298	-0.7992	-1.8315
HG02345	AMR	AMR	0	1e-4	0.9999	0	0	0.0313	-11.3717	11.485900000000001	-14.4735	2.7521	-3.1691	-3.1616	6.4273	0.265	0.0211
NA20804	EUR	EUR	0	0	0.002	0	0.998	1.7601	10.8481	5.0106	10.1699	3.8747	-6.8313	-6.2667	2.1676	5.2737	-3.6242
HG01867	EAS	EAS	1	0	0	0	0	-7.8277	-43.5538	-0.1129	7.5067	7.5892	-4.2456	-3.4431	5.1657	-2.3947	0.4223
HG00344	EUR	EUR	0	0	1e-4	0	0.9999	-1.2141	9.4725	5.9886	9.9915	3.5918	4.0824	-2.8568	6.0977	2.1924	0.5513
HG00704	EAS	EAS	1	0	0	0	0	-8.5293	-45.1206	2.7271	6.8048	0.3428	-1.3078	-4.2236	3.5313	2.687	-0.3067
HG01597	EAS	EAS	1	0	0	0	0	-6.3185	-43.8534	0.1759	8.643	9.2798	-4.619	-2.7265	1.4117	-2.1651	-1.334
NA20587	EUR	EUR	0	0	0.1112	0	0.8887	1.6231	12.8849	2.8485	9.1873	1.5289	-5.1435	-5.5977	3.1008	-0.0817	-0.2308
NA20278	AFR	AFR	0	0.9973	0.0027	0	0	31.0279	-1.1305	2.212	6.4858	3.1849	-5.6044	-5.1413	1.4453	0.6617	-1.8563
NA18489	AFR	AFR	0	0.9997	3e-4	0	0	63.5287	-16.35	0.6157	1.5536	-0.5162	-1.5662	-5.0068	5.9129	-2.3183	-1.031
NA18544	EAS	EAS	1	0	0	0	0	-7.8921	-42.1109	3.381	4.6595	-4.596	0.217	-2.7608	8.0092	-0.4435	1.5462
HG00705	EAS	EAS	1	0	0	0	0	-6.352	-44.8317	2.9495	7.4045	1.8799	-2.0031	-2.286	5.9116	-1.3855	-1.3452
HG01882	AFR	AFR	0	0.9996	4e-4	0	0	60.1636	-16.8117	1.9063	0.6333	1.0298	0.2549	-3.3328	3.9603	-0.7816	-0.5234
HG01630	EUR	EUR	0	0	0.0565	0	0.9435	2.3253	11.0362	5.331	9.1665	0.0352	-9.3599	-4.8556	-0.1959	-1.3962	-1.2655
HG03729	SAS	SAS	0	0	0	1	0	1.2835	-8.018	-20.6203	-5.5448	2.8173	-2.186	-1.1739	6.6449	-2.0003	0.9541
NA18961	EAS	EAS	1	0	0	0	0	-7.5519	-44.3532	1.7171	4.204	-7.0033	-1.8111	-2.9639	7.7073	-0.2487	-0.6046
HG03311	AFR	AFR	0	1	0	0	0	64.5712	-18.2701	-0.9085	-0.2453	1.418	-1.0016	-6.2907	5.1711	-2.919	-5.1416
HG01694	EUR	EUR	0	0	0.0636	0	0.9364	5.181	12.6068	3.5844	8.4528	1.4286	-7.1043	0.1269	2.041	-2.4148	-5.3921
NA20864	SAS	SAS	0	0	0	1	0	1.5937	-3.3665	-15.3599	-1.327	2.5534	-2.5973	0.2477	4.3362	-0.4201	-2.2638
HG01461	AMR	AMR	0	0.0084	0.9916	0	0	9.5794	-6.8358	11.4827	-10.8203	1.5033	-6.0347	-4.0094	0.3141	-6.791	-2.1049
NA21104	SAS	SAS	0	0	0	1	0	1.2199	-7.4934	-19.4304	-5.6962	4.2704	-1.6462	-5.9023	3.0635	-0.4935	-4.6773
HG02603	SAS	SAS	0	0	0	1	0	1.2972	-1.0762	-15.6237	-3.1157	0.6761	-7.1344	-0.9894	7.4575	-4.0961	1.364
HG01846	EAS	EAS	1	0	0	0	0	-6.3624	-42.8685	0.1929	7.3752	6.9695	-2.2212	1.347	3.9231	-3.2243	-1.2918
HG02489	AFR	AFR	0	0.9998	2e-4	0	0	55.201	-14.9126	0.3351	1.7763	4.0956	-0.9001	-1.8247	3.8357	-0.4787	-2.6058
HG00123	EUR	EUR	0	0	0.0223	0	0.9777	0.3072	12.7158	5.8112	8.2123	3.5012	-4.6464	-3.9723	1.0015	1.4177	1.809
NA21107	SAS	SAS	0	0	0	1	0	1.0517	-4.2318	-18.6733	-4.2674	3.8314	-2.0664	-7.8858	9.0768	0.0859	-2.9113
NA20332	AFR	AFR	0	0.999	0.001	0	0	49.1087	-12.1241	1.3557	1.5929	1.7685	-4.475	-5.9113	5.7781	-0.0312	-2.6728
NA19035	AFR	AFR	0	0.9999	1e-4	0	0	58.9805	-16.7729	-0.4014	1.2476	2.733	-2.8278	-6.5264	-1.2962	-0.2001	1.2218
NA18957	EAS	EAS	1	0	0	0	0	-7.2554	-43.1725	2.5918	6.6391	-5.3631	-1.4296	-3.0002	4.4208	1.8487	-0.1368
HG00708	EAS	EAS	1	0	0	0	0	-8.7301	-45.2376	1.0475	7.3867	2.8169	0.8425	-1.8219	4.3458	0.9636	-2.8815
NA11840	EUR	EUR	0	0	0.0071	2e-4	0.9927	-0.5994	11.8225	3.7945	8.4998	2.9539	3.4339	-8.0567	8.3623	3.5474	-1.9914
HG03991	SAS	SAS	0	0	0	1	0	0.5146	-7.4308	-22.4059	-5.4138	4.9791	-2.6411	-0.779	4.8255	0.5978	-1.0264
HG02016	EAS	EAS	1	0	0	0	0	-6.8351	-39.2278	-1.2113	6.1191	4.2207	-3.814	-3.8149	4.5484	-0.9689	0.1225
HG01435	AMR	AMR	0	8e-4	0.9992	0	0	-0.3848	-7.2867	13.5699	-14.9449	3.4092	1.5575	-5.2794	5.1469	-0.293	-0.495
HG04235	SAS	SAS	0	0	0	1	0	1.4996	-8.1354	-19.933	-4.9336	-0.8373	-2.9091	-2.3777	7.268	-2.5895	-1.5968
HG00127	EUR	EUR	2e-4	4e-4	0.1492	1e-4	0.8502	-0.0198	13.567	3.7147	9.3969	2.7435	0.7313	-8.8506	2.4391	-0.1861	-5.4565
HG00593	EAS	EAS	1	0	0	0	0	-8.0837	-45.6297	2.702	8.3667	-0.7237	-1.6002	-5.1395	4.6113	-2.1536	-2.566
NA21137	SAS	SAS	0	0	0	1	0	0.6728	-6.0477	-17.2671	-5.1134	1.2123	-4.5385	-6.3252	7.4544	-2.1227	2.9226
HG01620	EUR	EUR	0	0	0.2187	0	0.7813	0.5511	11.8191	5.9308	9.8827	1.7363	-8.1025	-3.9762	1.503	-2.9251	-5.1883
HG02181	EAS	EAS	1	0	0	0	0	-5.2534	-43.0473	-0.6925	8.3205	7.5641	-2.8133	-4.3412	2.5278	-2.5427	-1.5439
HG02185	EAS	EAS	1	0	0	0	0	-6.417	-43.9397	1.6803	8.1644	7.4101	-5.1246	-3.7926	5.1928	-1.6666	-1.547
NA19347	AFR	AFR	0	1	0	0	0	58.8651	-17.4068	0.3916	0.6645	3.9957	-2.1288	-6.7085	0.5281	-0.3294	0.5101
HG00116	EUR	EUR	0	0	0.0032	0	0.9968	0.1671	12.6485	5.3118	9.4569	1.3099	-2.522	-1.6042	2.011	-1.9413	-3.679
HG03097	AFR	AFR	0	0.9999	1e-4	0	0	64.2379	-18.4431	-0.6027	2.3915	0.7658	-0.8065	-0.7551	4.8162	-1.1442	-1.3985
NA18757	EAS	EAS	1	0	0	0	0	-6.7454	-45.0714	3.5774	8.2629	-2.134	-2.5004	-0.4552	4.996	-2.4533	-3.2596
HG01431	AMR	AMR	0	0.0011	0.9989	0	0	5.8842	-0.2782	7.9859	-4.3347	-0.5533	-6.2241	-3.3735	4.5878	-4.2082	0.3644
HG01556	AMR	AMR	0	0.0032	0.9968	0	0	12.5773	-5.9041	9.7942	-6.4711	0.7593	-3.9858	-3.196	3.6714	0.761	-0.1805
NA19054	EAS	EAS	1	0	0	0	0	-7.8884	-42.1297	3.3447	5.361	-4.5808	-3.6262	-4.7212	6.1773	-3.3916	1.453
HG02051	AFR	AFR	0	0.9999	1e-4	0	0	60.203	-17.6486	1.1253	0.9474	1.5351	-2.7313	-1.2921	6.324	-1.0542	0.6614
HG00589	EAS	EAS	1	0	0	0	0	-7.7452	-43.9823	2.6046	6.9725	1.4776	-3.502	-2.6009	5.2489	1.2423	-0.2318
HG02610	AFR	AFR	0	1	0	0	0	61.5378	-16.8764	-0.001	1.0585	1.0417	-2.4265	-2.0516	5.7837	-4.2789	-1.046
HG01271	AMR	AMR	1e-4	5e-4	0.9992	1e-4	1e-4	3.4908	-0.7095	10.5587	-3.1955	3.0244	-4.0206	-5.5547	4.8753	-0.1653	-0.3891
HG00464	EAS	EAS	1	0	0	0	0	-9.1189	-44.7317	3.6299	7.4365	-0.8265	-2.2452	-4.7578	8.1624	-1.2796	-1.4142
HG03774	SAS	SAS	0	0	0	1	0	2.4109	-7.7718	-20.248	-4.7314	3.2573	-3.8336	-5.4521	-1.2357	0.9241	-0.5068
HG02649	SAS	SAS	0	0	0	1	0	0.9214	-0.6864	-10.1344	-2.3734	1.0868	-3.0785	-5.822	4.6979	3.2303	1.3958
NA12044	EUR	EUR	0	0	0.002	0	0.998	1.0773	13.3239	6.2397	10.4347	2.1018	0.9954	-4.6514	6.2572	0.8746	-4.6781
HG03108	AFR	AFR	0	0.9998	2e-4	0	0	62.9121	-17.6494	0.4042	1.5296	2.4694	-2.9762	-6.8891	8.4227	-1.4334	-4.3088
HG02156	EAS	EAS	1	0	0	0	0	-6.667	-44.632	0.6056	7.0367	8.3198	-4.0529	-3.3197	6.3041	-0.7338	-1.4717
HG03123	AFR	AFR	0	1	0	0	0	63.0548	-18.5616	-0.4561	1.4713	-0.5277	-2.9155	-5.1687	4.8162	1.8427	-3.2392
NA18998	EAS	EAS	1	0	0	0	0	-6.1977	-42.2137	2.8824	4.6714	-5.9456	-3.4659	-3.2707	3.5875	2.9596	-3.623
HG01806	EAS	EAS	1	0	0	0	0	-7.4236	-44.6409	-0.2839	8.105	7.4052	-1.8332	-4.4797	0.7146	-1.7055	-0.5391
NA19663	AMR	AMR	0	0.0276	0.9724	0	0	1.9446	-12.87	15.3691	-20.3514	1.724	-0.11	-2.4316	4.6951	-6.6656	-2.9218
HG01879	AFR	AFR	0	0.9988	0.0012	0	0	50.3585	-13.7701	1.7881	2.9483	3.3184	-2.8936	-4.6848	3.6775	-3.3264	-2.7869
NA18621	EAS	EAS	1	0	0	0	0	-8.8242	-44.3874	4.6936	5.0022	-3.5487	-5.4941	-6.3382	6.3537	-1.8953	-2.2453
HG02142	EAS	EAS	1	0	0	0	0	-8.0687	-38.6513	0.8913	6.8568	4.7814	-3.3275	-2.6509	3.0448	2.2821	2.9198
HG01462	AMR	AMR	0	0.0353	0.9647	0	0	14.1393	-8.7857	8.9862	-9.278	2.4328	-4.5098	-6.025	5.6225	-5.6427	0.1681
HG03556	AFR	AFR	0	1	0	0	0	62.4585	-16.3697	0.9137	2.5433	3.7683	-2.8151	-4.5134	5.793	-1.3133	-3.808
NA18618	EAS	EAS	1	0	0	0	0	-8.5458	-42.3265	3.0176	5.2909	-2.4868	-4.0621	-0.1395	5.0809	0.0415	-2.6805
NA20906	SAS	SAS	0	0	0	1	0	1.3645	-7.754	-18.1657	-6.1868	1.0754	-0.0766	-6.306	3.0509	0.9294	-0.2578
HG00304	EUR	EUR	0	0	0.0239	0	0.9761	-1.2553	9.0084	4.9992	6.4834	6.4942	4.8096	-4.1872	5.7087	-7.0914	-2.6518
HG02702	AFR	AFR	0	0.9998	2e-4	0	0	60.0933	-16.402	0.5048	2.9776	-1.558	-3.5567	-0.5339	7.6066	-3.3398	-2.4102
HG02221	EUR	EUR	0	0	0.0033	0	0.9967	1.7534	12.0054	4.7088	8.5998	-1.4853	-5.4687	-8.1528	11.0165	-3.935	-2.462
HG02757	AFR	AFR	0	0.9999	1e-4	0	0	60.744	-17.0394	-0.1324	1.8494	0.6437	-1.7624	-1.5253	3.8643	-3.7933	-0.6626
NA18508	AFR	AFR	0	1	0	0	0	63.8518	-18.1295	0.0112	-0.4337	-0.1679	-4.5629	-5.6212	4.79	-1.5607	-3.2197
HG02819	AFR	AFR	0	1	0	0	0	61.1129	-16.2099	-0.7422	1.4421	0.8808	0.4658	-0.7732	3.2533	0.0583	-1.1785
HG03419	AFR	AFR	0	0.9994	6e-4	0	0	63.2044	-16.7867	0.9875	1.1035	0.815	-1.0914	-1.1158	5.7841	-1.1753	-4.833
HG01843	EAS	EAS	1	0	0	0	0	-7.7271	-43.3919	-0.5074	7.1184	6.9393	-3.9621	-4.4585	0.2726	-0.0665	-3.6224
HG03366	AFR	AFR	0	0.9999	1e-4	0	0	63.2376	-18.0824	0.1644	1.5147	2.7077	-1.8743	-4.7814	6.3121	-2.1606	-3.626
HG02382	EAS	EAS	1	0	0	0	0	-6.7844	-44.7413	0.3559	8.1665	8.5321	-1.8641	-2.1809	5.2108	-4.6539	0.9515
HG02090	AMR	AMR	0	0.0015	0.9985	0	0	2.992	-14.2077	16.158	-18.8595	0.4573	-2.5238	-2.8167	4.5765	-6.5589	-2.9705
NA19200	AFR	AFR	0	0.9995	5e-4	0	0	61.955	-17.6266	-0.30620000000000003	1.5173	-1.2845	-0.4524	-5.501	5.1575	1.4239	-2.3206
HG02088	EAS	EAS	1	0	0	0	0	-5.6651	-44.8426	0.5804	8.232	7.3453	-2.4275	-6.3971	4.3583	-2.5055	-2.9243
HG01679	EUR	EUR	0	0	0.0256	0	0.9744	1.4017	12.2572	5.4729	8.0323	5.0649	-5.1114	-5.0738	6.8161	-2.9562	-3.2454
NA19066	EAS	EAS	1	0	0	0	0	-6.8875	-42.4805	2.2125	6.0741	-4.6846	-2.0507	-4.9189	6.2068	0.4242	-0.4359
HG01956	AFR	AFR	0	0.999	0.001	0	0	59.6098	-13.0211	1.8278	1.9352	2.9027	-3.4471	-4.6765	5.0371	1.1156	-0.596
HG03458	AFR	AFR	0	0.9999	1e-4	0	0	63.0382	-17.2724	0.0885	0.8837	1.1299	-2.7461	-3.0527	4.1702	0.6667	-3.8465
NA19747	AMR	AMR	0	0.002	0.998	0	0	-2.7565	-8.2256	14.2082	-15.498	1.4193	-2.7678	-2.3821	3.4038	0.8282	-0.9156
HG03039	AFR	AFR	0	1	0	0	0	62.3975	-17.1634	-0.5447	2.5702	1.2383	-2.4261	-3.5237	4.9364	-3.2558	-0.1084
HG03967	SAS	SAS	0	0	0	1	0	0.3523	-5.4126	-18.718	-3.2052	3.8409	-1.7206	-6.1273	4.3143	-1.1084	-0.9543
HG04155	SAS	SAS	0	0	0	1	0	-1.2152	-9.728	-17.0213	-4.7475	2.7528	0.0462	-3.295	1.7621	-4.4296	1.9607
NA20759	EUR	EUR	0	0	0.2813	0	0.7187	1.2849	10.9712	3.3303	7.3095	-0.0894	-7.8089	-6.4278	5.5248	0.6769	-2.0901
HG02775	SAS	SAS	0	0	0	1	0	1.354	-7.0511	-20.0201	-3.9924	3.0231	-1.8835	-0.1864	5.6952	-0.0789	-1.8798
NA20821	EUR	EUR	0	0	0.0025	0	0.9975	2.0422	11.9067	4.1629	8.6593	2.0937	-3.9163	-3.3408	4.5401	0.1423	0.8287
HG01241	AFR	AMR	0	0.86	0.14	0	0	41.2298	-9.3978	4.6282	0.0478	0.5048	-2.6538	-6.6849	2.1038	1.8539	-3.9192
HG03611	SAS	SAS	0	0	0	1	0	-0.053900000000000003	-11.9302	-16.5205	-5.0987	2.1575	-1.848	-2.571	3.5593	0.8937	1.9057
HG02299	AMR	AMR	0	1e-4	0.9999	0	0	-6.4651	-20.2507	20.7498	-33.8383	3.3871000000000002	-1.9437	-4.6215	4.9144	1.9327	-2.6374
HG02374	EAS	EAS	1	0	0	0	0	-8.0807	-44.0409	-0.0385	10.3789	7.6433	-4.8032	-6.9549	3.1887	0.3104	-3.9059
HG01302	AMR	AMR	0	0.0011	0.9989	0	0	6.6938	1.9501	6.9463	-1.8208	4.1943	-5.1668	-5.856	8.9427	-4.767	1.377
HG00110	EUR	EUR	0	0	3e-4	0	0.9997	-0.1943	12.243	5.123	9.8317	0.695	-1.4657	-2.147	2.3422	-0.6643	-5.199
NA20339	AFR	AFR	0	0.9864	0.0136	0	0	53.302	-15.1516	1.1458	-0.0774	2.6789	-2.4501	-2.1071	2.7347	-1.8362	0.8074
HG03303	AFR	AFR	0	1	0	0	0	63.9358	-19.3728	-0.5933	0.5476	2.1088	-1.6747	-4.555	4.3108	1.2472	-0.1553
HG04222	SAS	SAS	0	0	0	1	0	2.4679	-8.1197	-20.0605	-4.8207	1.2448	-6.8504	-3.8214	3.877	-0.98740000000000006	-2.0072
NA20811	EUR	EUR	0	5e-4	0.0619	0.1165	0.8211	2.0186	14.0427	3.2349	6.7662	2.0988	-5.1027	0.0945	5.8981	0.8603	1.1731
HG01862	EAS	EAS	1	0	0	0	0	-7.1799	-44.1028	0.4294	5.9683	7.6868	-2.9236	-2.7119	1.9906	0.4953	-2.3898
NA18610	EAS	EAS	1	0	0	0	0	-8.8053	-41.5696	2.4205	6.9584	-1.2744	-1.8509	-2.2486	1.9904	-0.4292	-1.5186
HG02763	AFR	AFR	0	0.9998	2e-4	0	0	61.3943	-17.8615	0.2727	2.4514	0.962	-4.657	-1.4772	2.9326	-4.7492	-0.8036
HG03064	AFR	AFR	0	1	0	0	0	64.8864	-18.2367	-0.3688	1.8941	2.6239	-2.3527	-0.859	3.7896	-4.1231	-3.2339
NA19028	AFR	AFR	0	0.9999	1e-4	0	0	58.298	-16.7131	0.2053	0.8068	4.1841	-4.2903	-4.3936	1.6987	-2.7679	-0.0632
HG00334	EUR	EUR	0	0	0.0107	0	0.9893	-1.417	10.5542	7.38	9.2385	0.6934	4.0655	-4.6186	5.7497	-1.3453	3.8577
HG03439	AFR	AFR	0	1	0	0	0	62.3855	-17.8688	-0.491	0.5921	-0.567	-1.7184	-2.8861	6.8651	-4.2144	0.76
HG01810	EAS	EAS	1	0	0	0	0	-7.0947	-43.3438	0.7653	6.8667	7.4202	0.0357	-2.901	6.7697	-2.1412	-1.5663
HG03578	AFR	AFR	0	1	0	0	0	64.0324	-16.3395	0.0732	1.7844	3.2098	-2.2967	-5.3037	6.0113	-0.9379	-0.3418
NA19030	AFR	AFR	0	1	0	0	0	58.3738	-16.5282	-0.1813	2.2918	5.0542	-3.8699	-7.5193	2.668	0.7593	-2.0014
NA20768	EUR	EUR	0	0	0.093	0	0.907	0.5901	11.6516	4.8081	10.4295	0.9801	-6.1906	-0.0309	5.85	-3.9983	-4.9594
NA20773	EUR	EUR	0	0	4e-4	3e-4	0.9994	1.2042	12.1574	2.6893	9.1652	1.9952	-7.0666	-4.7997	3.7261	-3.1016	3.9097
HG01495	AMR	AMR	0	6e-4	0.9994	0	0	6.2057	-4.0092	13.1118	-9.1978	0.0256	-3.8649	-4.4824	3.6559	1.8181	-0.1005
HG01198	AMR	AMR	0	0.0011	0.9989	0	0	10.8726	1.1976	8.1651	2.2248	1.4446	-7.0246	-1.1604	5.8062	-0.7471	0.9654
NA18981	EAS	EAS	1	0	0	0	0	-7.046	-43.0842	2.5867	5.3175	-5.3981	-2.4725	-4.6797	4.6813	2.2138	-1.5193
HG02394	EAS	EAS	1	0	0	0	0	-7.8924	-43.5037	2.4361	8.1516	9.4971	-2.3352	-4.4433	3.108	-5.9172	-2.3335
HG03850	SAS	SAS	0	0	0	1	0	0.583	-5.7516	-19.1741	-4.5373	0.8346	-3.6261	-2.3152	0.2844	-2.6391	0.8442
HG01917	AMR	AMR	0	0.0011	0.9989	0	0	-5.8652	-19.4186	22.3956	-32.4406	1.6279	-2.4076	-2.2534	3.7559	3.621	-0.9915
NA21135	SAS	SAS	0	0	0	1	0	2.6482	-6.6172	-18.5286	-1.8554	6.2341	-2.4576	-5.7373	11.554	-2.5932	0.4447
NA18631	EAS	EAS	1	0	0	0	0	-7.7766	-45.189	2.3723	6.3458	0.0971	-3.5061	-0.5858	4.6511	2.3889	-3.4555
HG03800	SAS	SAS	0	0	0	1	0	-0.5339	-14.7581	-17.5663	-4.3769	2.0134	-1.997	-1.6131	4.1719	-0.3986	3.7644
HG02130	EAS	EAS	1	0	0	0	0	-8.4453	-42.6182	-0.8134	6.7808	7.9846	-0.8263	-1.4844	2.1167	-3.8425	1.7661
HG01303	AMR	AMR	0	2e-4	0.9984	3e-4	0.0011	5.8111	1.4293	8.1741	-0.795	2.5099	-5.439	-5.1288	3.3925	-1.3281	-3.0355
HG01308	AMR	AMR	0	0.0034	0.9966	0	0	13.8598	-0.8691	7.697	0.1398	2.0915	-6.4782	-2.5601	5.2402	-1.0678	-2.0657
HG03100	AFR	AFR	0	0.9999	1e-4	0	0	64.243	-16.9386	-0.4826	1.0841	1.2778	-3.3685	-3.4996	5.2493	-0.7363	-3.0941
NA12043	EUR	EUR	0	0	0.046	0	0.954	-1.6566	14.4537	3.7059	8.755	5.5732	-0.9327	-10.0341	2.9498	-1.6423	-2.4836
HG01161	AMR	AMR	0	0.0116	0.9884	0	0	10.2671	1.3784	9.2895	0.1205	0.4303	-4.4819	-3.4973	5.1812	0.9067	-3.0129
